name,address,phone_number,website,email,category,zip_code
Clean as a Whistle,Po Box 33509,(706) 340-4462,N/A,N/A,Cleaning Services,33594
The Cleaning Authority,1603 Bloomingdale Ave Ste B,(813) 651-5959,N/A,N/A,Cleaning Services,33594
Sudsy Buckets Home Cleaning,4925 Willow Ridge Ter,(813) 489-5160,https://sudsybucketscleaning.com,N/A,Cleaning Services,33594
Imagine Maid Service,1808 Stillmeadow Dr,(813) 451-8416,N/A,N/A,Cleaning Services,33594
Innovative Clear Concepts,3022 Avalon Terrace Dr,(813) 750-3761,N/A,N/A,Cleaning Services,33594
Pura Home Cleaning,1032 E Brandon Blvd,(813) 945-7872,https://www.purahomecleaning.com,N/A,Cleaning Services,33594
Tampa House Cleaning,2511 Groveway Dr,(813) 606-5048,N/A,N/A,Cleaning Services,33594
On the Spot Cleaning,N/A,(813) 335-5605,N/A,N/A,Cleaning Services,33594
Parfait Maid,Serving the33594 Area,(813) 374-5545,N/A,N/A,Cleaning Services,33594
Cleaning By Sharon,N/A,(813) 671-9024,N/A,N/A,Cleaning Services,33594
Cleanings By Doris,Serving the33594 Area,(813) 969-1798,N/A,N/A,Cleaning Services,33594
Kat's Kleaning Services,Serving the33594 Area,(813) 464-1764,http://katskleaningservices.tripod.com,N/A,Cleaning Services,33594
Crystal Clean Cleaning Service,N/A,(561) 305-4065,N/A,N/A,Cleaning Services,33594
A Thrifty Maid Professional Cleaning Service,N/A,(813) 963-3334,N/A,N/A,Cleaning Services,33594
US Cleaning Service Inc,Serving the33594 Area,(813) 671-0336,http://www.unitedstatescleaningservice.com,N/A,Cleaning Services,33594
The Real Maids,N/A,(813) 999-0059,http://www.therealmaids.com,N/A,Cleaning Services,33594
"A-1 Maid Service, Inc.",N/A,(727) 447-5848,http://www.a1maidservice.com,N/A,Cleaning Services,33594
Xpress Cleaning Crew,Dale Mabry,(813) 816-2739,N/A,N/A,Cleaning Services,33594
Your Day Off Maid Services,N/A,(813) 507-4933,N/A,N/A,Cleaning Services,33594
